,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_activations,param_batch_size,param_dropout_rate,param_learning_rate,param_nb_epoch,param_neurons,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
623,4.387353897094727,0.06172437952216748,0.006233692169189453,0.0004776080099644805,"['sigmoid', 'sigmoid', 'sigmoid', 'identity']",128,0,0.05,500,"[50, 50, 25, 1]","{'activations': ['sigmoid', 'sigmoid', 'sigmoid', 'identity'], 'batch_size': 128, 'dropout_rate': 0, 'learning_rate': 0.05, 'nb_epoch': 500, 'neurons': [50, 50, 25, 1]}",-69821.15465413682,-72550.24592541586,-63903.38891409545,-64878.77140853504,-68415.2158785586,-67913.75535614835,3183.7351051312025,1236,-67312.19823927262,-69042.07345028293,-66932.57809957597,-68522.90156108265,-66481.72902252761,-67658.29607454836,968.8284462815304
624,4.384440946578979,0.062259368210759905,0.006116247177124024,0.000357591264758841,"['sigmoid', 'sigmoid', 'sigmoid', 'identity']",128,0,0.05,1000,"[20, 10, 5, 1]","{'activations': ['sigmoid', 'sigmoid', 'sigmoid', 'identity'], 'batch_size': 128, 'dropout_rate': 0, 'learning_rate': 0.05, 'nb_epoch': 1000, 'neurons': [20, 10, 5, 1]}",-69184.45110858008,-69398.33023481027,-65195.472225599384,-63618.63116915419,-68602.7333879989,-67199.92362522856,2348.7314556229876,330,-66796.22033832088,-65951.04189704265,-68561.25788726177,-67302.25714608244,-66055.83543086988,-66933.32253991553,952.8842679311078
625,4.421413326263428,0.051217520409448346,0.006093502044677734,0.0003603648358283189,"['sigmoid', 'sigmoid', 'sigmoid', 'identity']",128,0,0.05,1000,"[30, 30, 15, 1]","{'activations': ['sigmoid', 'sigmoid', 'sigmoid', 'identity'], 'batch_size': 128, 'dropout_rate': 0, 'learning_rate': 0.05, 'nb_epoch': 1000, 'neurons': [30, 30, 15, 1]}",-68282.39050491204,-71748.56363114926,-63130.11097472714,-64887.760690819465,-69809.00532097994,-67571.56622451756,3158.735477420799,853,-65970.32850874159,-68526.30796873542,-66412.55848955526,-68456.27914638043,-67836.00081687003,-67440.29498605654,1056.9082143484713
626,4.365326833724976,0.02918878494232976,0.006340932846069336,0.0005079797385332635,"['sigmoid', 'sigmoid', 'sigmoid', 'identity']",128,0,0.05,1000,"[50, 50, 25, 1]","{'activations': ['sigmoid', 'sigmoid', 'sigmoid', 'identity'], 'batch_size': 128, 'dropout_rate': 0, 'learning_rate': 0.05, 'nb_epoch': 1000, 'neurons': [50, 50, 25, 1]}",-69246.52775615366,-70539.85995091623,-64326.61102063658,-63941.91223769762,-69423.26662550478,-67495.63551818176,2782.817030710556,739,-66774.87851988855,-66641.8522451514,-67629.94776534237,-67252.8766692068,-67343.08778190463,-67128.52859629874,367.38032548279944
627,4.401084470748901,0.05956693332947595,0.006275844573974609,0.00048674317908190164,"['sigmoid', 'sigmoid', 'sigmoid', 'identity']",128,0,0.05,5000,"[20, 10, 5, 1]","{'activations': ['sigmoid', 'sigmoid', 'sigmoid', 'identity'], 'batch_size': 128, 'dropout_rate': 0, 'learning_rate': 0.05, 'nb_epoch': 5000, 'neurons': [20, 10, 5, 1]}",-68519.75488919238,-69843.474084611,-63604.00716599929,-64196.0299095336,-70660.67811616014,-67364.78883309929,2916.34103617039,527,-65925.11989224257,-66308.65363356264,-66965.86956942441,-67765.52709643706,-68495.14602106111,-67092.06324254556,939.5325526307486
628,4.3974474430084225,0.061413221150773946,0.006138134002685547,0.0003409383480364749,"['sigmoid', 'sigmoid', 'sigmoid', 'identity']",128,0,0.05,5000,"[30, 30, 15, 1]","{'activations': ['sigmoid', 'sigmoid', 'sigmoid', 'identity'], 'batch_size': 128, 'dropout_rate': 0, 'learning_rate': 0.05, 'nb_epoch': 5000, 'neurons': [30, 30, 15, 1]}",-69711.11170157036,-69099.02834648716,-64683.885604696814,-63428.891805517866,-69301.04124249917,-67244.79174015427,2640.7734513214036,383,-67482.41607507989,-65445.03376382593,-67850.1635806636,-66677.86949775275,-67117.61874365642,-66914.62033219573,831.213230162891
629,4.40389666557312,0.06650323239268438,0.006164455413818359,0.000346577226350912,"['sigmoid', 'sigmoid', 'sigmoid', 'identity']",128,0,0.05,5000,"[50, 50, 25, 1]","{'activations': ['sigmoid', 'sigmoid', 'sigmoid', 'identity'], 'batch_size': 128, 'dropout_rate': 0, 'learning_rate': 0.05, 'nb_epoch': 5000, 'neurons': [50, 50, 25, 1]}",-70684.97934508378,-70313.39179020975,-63956.45492687482,-66453.46080358062,-70485.95556737987,-68378.84848662576,2711.6518990049804,1417,-68922.71258989866,-66691.28377624927,-67122.83373635345,-70000.924973129,-68208.05676912116,-68189.1623689503,1200.1361331181956
630,4.3782634258270265,0.04583880098523353,0.006089305877685547,0.000386061410167766,"['sigmoid', 'sigmoid', 'sigmoid', 'identity']",128,0.1,0.01,50,"[20, 10, 5, 1]","{'activations': ['sigmoid', 'sigmoid', 'sigmoid', 'identity'], 'batch_size': 128, 'dropout_rate': 0.1, 'learning_rate': 0.01, 'nb_epoch': 50, 'neurons': [20, 10, 5, 1]}",-70727.8885813444,-71029.77006397133,-64032.162115505744,-65050.506032957965,-69484.41249463815,-68064.94785768352,2940.9700517060937,1326,-67682.57132912458,-67622.65667885769,-67358.35195081666,-68940.05805145045,-67312.9701156446,-67783.3216251788,595.9585176241148
631,4.384994316101074,0.06797433220910548,0.0062026500701904295,0.0005142390945965705,"['sigmoid', 'sigmoid', 'sigmoid', 'identity']",128,0.1,0.01,50,"[30, 30, 15, 1]","{'activations': ['sigmoid', 'sigmoid', 'sigmoid', 'identity'], 'batch_size': 128, 'dropout_rate': 0.1, 'learning_rate': 0.01, 'nb_epoch': 50, 'neurons': [30, 30, 15, 1]}",-70413.40562442549,-70262.44545418088,-64711.95860402377,-65133.424738908456,-68122.81663761758,-67728.81021183124,2433.8866247526107,1048,-67878.60887377587,-66482.9899511912,-67862.20471780235,-68197.23125089887,-66018.69736020431,-67287.94643077451,867.6867779409274
632,4.3954047679901125,0.027500242754299197,0.006345081329345703,0.00045794509233172107,"['sigmoid', 'sigmoid', 'sigmoid', 'identity']",128,0.1,0.01,50,"[50, 50, 25, 1]","{'activations': ['sigmoid', 'sigmoid', 'sigmoid', 'identity'], 'batch_size': 128, 'dropout_rate': 0.1, 'learning_rate': 0.01, 'nb_epoch': 50, 'neurons': [50, 50, 25, 1]}",-69439.62182548488,-70402.88030568516,-65090.944678810076,-62972.792322445195,-69335.08080899104,-67448.26398828326,2892.8236134366084,656,-67102.43452079892,-67170.59698855544,-68337.30267745817,-67103.75615438972,-67508.78830545605,-67444.57572933166,471.0345207054297
